#Sample description: chromixs
#Sample: chromixs  c= 0 mg/ml  Code: chromixs
 2.096145e-002  2.954454e-002  2.140541e-004
 2.109210e-002  2.910041e-002  2.149980e-004
 2.122274e-002  2.874999e-002  2.123402e-004
 2.135339e-002  2.913244e-002  2.116028e-004
 2.148403e-002  2.901639e-002  2.142780e-004
 2.161468e-002  2.911498e-002  2.105621e-004
 2.174533e-002  2.900292e-002  2.097939e-004
 2.187597e-002  2.907206e-002  2.099344e-004
 2.200662e-002  2.850210e-002  2.061957e-004
 2.213727e-002  2.885241e-002  2.097272e-004
 2.226791e-002  2.826144e-002  2.061234e-004
 2.239856e-002  2.877215e-002  2.062153e-004
 2.252921e-002  2.885046e-002  2.068568e-004
 2.265985e-002  2.852585e-002  2.025104e-004
 2.279050e-002  2.857790e-002  2.049016e-004
 2.292115e-002  2.827076e-002  2.033948e-004
 2.305179e-002  2.847310e-002  2.015562e-004
 2.318244e-002  2.865655e-002  2.032925e-004
 2.331308e-002  2.876141e-002  2.000185e-004
 2.344373e-002  2.870511e-002  2.010846e-004
 2.357438e-002  2.817465e-002  2.019136e-004
 2.370502e-002  2.799941e-002  1.976686e-004
 2.383567e-002  2.862355e-002  2.002336e-004
 2.396632e-002  2.793461e-002  1.963957e-004
 2.409696e-002  2.818014e-002  1.964870e-004
 2.422761e-002  2.815544e-002  1.986008e-004
 2.435825e-002  2.822880e-002  1.953554e-004
 2.448890e-002  2.803308e-002  1.960441e-004
 2.461955e-002  2.835428e-002  1.956430e-004
 2.475019e-002  2.800745e-002  1.917960e-004
 2.488084e-002  2.764658e-002  1.945178e-004
 2.501149e-002  2.769403e-002  1.925338e-004
 2.514213e-002  2.783938e-002  1.925028e-004
 2.527278e-002  2.795230e-002  1.930920e-004
 2.540343e-002  2.731329e-002  1.886801e-004
 2.553407e-002  2.766627e-002  1.902370e-004
 2.566472e-002  2.793448e-002  1.899589e-004
 2.579537e-002  2.758987e-002  1.879993e-004
 2.592601e-002  2.747053e-002  1.897697e-004
 2.605666e-002  2.777425e-002  1.865868e-004
 2.618731e-002  2.735804e-002  1.867255e-004
 2.631795e-002  2.721336e-002  1.876807e-004
 2.644860e-002  2.725631e-002  1.843912e-004
 2.657925e-002  2.701035e-002  1.870633e-004
 2.670989e-002  2.703732e-002  1.839156e-004
 2.684054e-002  2.674941e-002  1.817732e-004
 2.697118e-002  2.696652e-002  1.846786e-004
 2.710183e-002  2.696739e-002  1.822202e-004
 2.723248e-002  2.679759e-002  1.832175e-004
